university	kind	prefecture	region	city	faculty	department	field	years	capacity
三重県立看護大学	公立	三重県	近畿	津市	看護学部	看護学科	看護・保健	4	100
京都市立芸術大学	公立	京都府	近畿	京都市	美術学部	デザイン科	芸術	4	30
京都市立芸術大学	公立	京都府	近畿	京都市	美術学部	工芸科	工学	4	30
京都市立芸術大学	公立	京都府	近畿	京都市	美術学部	総合芸術学科	芸術	4	5
京都市立芸術大学	公立	京都府	近畿	京都市	美術学部	美術科	芸術	4	70
京都市立芸術大学	公立	京都府	近畿	京都市	音楽学部	音楽学科	芸術	4	65
京都府立医科大学	公立	京都府	近畿	京都市	医学部	医学科	医学	6	106
京都府立医科大学	公立	京都府	近畿	京都市	医学部	看護学科	看護・保健	4	85
京都府立大学	公立	京都府	近畿	京都市	公共政策学部	公共政策学科	社会・国際	4	52
京都府立大学	公立	京都府	近畿	京都市	公共政策学部	福祉社会学科	社会・国際	4	52
京都府立大学	公立	京都府	近畿	京都市	文学部	国際文化交流学科	文・人文	4	32
京都府立大学	公立	京都府	近畿	京都市	文学部	日本・中国文化学科	理学	4	32
京都府立大学	公立	京都府	近畿	京都市	文学部	歴史学科	文・人文	4	43
京都府立大学	公立	京都府	近畿	京都市	環境科学部	森林科学科	農・水産	4	36
京都府立大学	公立	京都府	近畿	京都市	環境科学部	環境デザイン学科	芸術	4	43
京都府立大学	公立	京都府	近畿	京都市	生命理工情報学部	理工情報学科	情報	4	27
京都府立大学	公立	京都府	近畿	京都市	生命理工情報学部	生命化学科	情報	4	32
京都府立大学	公立	京都府	近畿	京都市	農学食科学部	和食文化科学科	農・水産	4	30
京都府立大学	公立	京都府	近畿	京都市	農学食科学部	栄養科学科	農・水産	4	30
京都府立大学	公立	京都府	近畿	京都市	農学食科学部	農学生命科学科	農・水産	4	50
福知山公立大学	公立	京都府	近畿	福知山市	地域経営学部	医療福祉経営学科	看護・保健	4	25
福知山公立大学	公立	京都府	近畿	福知山市	地域経営学部	地域経営学科	経済・経営	4	75
福知山公立大学	公立	京都府	近畿	福知山市	情報学部	情報学科	情報	4	100
兵庫県立大学	公立	兵庫県	近畿	神戸市	国際商経学部	国際商経学科	経済・経営	4	360
兵庫県立大学	公立	兵庫県	近畿	姫路市	工学部	応用化学工学科	工学	4	100
兵庫県立大学	公立	兵庫県	近畿	姫路市	工学部	機械・材料工学科	工学	4	126
兵庫県立大学	公立	兵庫県	近畿	姫路市	工学部	電気電子情報工学科	情報	4	126
兵庫県立大学	公立	兵庫県	近畿	上郡町	理学部	物質科学科	理学	4	90
兵庫県立大学	公立	兵庫県	近畿	上郡町	理学部	生命科学科	理学	4	85
兵庫県立大学	公立	兵庫県	近畿	姫路市	環境人間学部	環境人間学科	社会・国際	4	205
兵庫県立大学	公立	兵庫県	近畿	明石市	看護学部	看護学科	看護・保健	4	105
兵庫県立大学	公立	兵庫県	近畿	神戸市	社会情報科学部	社会情報科学科	情報	4	100
神戸市外国語大学	公立	兵庫県	近畿	神戸市	外国語学部	イスパニア学科	その他	4	40
神戸市外国語大学	公立	兵庫県	近畿	神戸市	外国語学部	ロシア学科	その他	4	40
神戸市外国語大学	公立	兵庫県	近畿	神戸市	外国語学部	中国学科	その他	4	50
神戸市外国語大学	公立	兵庫県	近畿	神戸市	外国語学部	国際関係学科	社会・国際	4	80
神戸市外国語大学	公立	兵庫県	近畿	神戸市	外国語学部	英米学科	その他	4	140
神戸市外国語大学	公立	兵庫県	近畿	神戸市	外国語学部第二部	英米学科	その他	4	80
神戸市看護大学	公立	兵庫県	近畿	神戸市	看護学部	看護学科	看護・保健	4	100
