front	back	hint	memo	tags
著作権が発生するタイミング	創作した時点で自動的に発生する（無方式主義）。登録や表示は不要	出願不要	産業財産権は出願・登録が必要。ここが対比で問われる	joho1 q1 hoki confusable
産業財産権の4つ	特許権・実用新案権・意匠権・商標権	特許庁	いずれも出願・登録して初めて発生。著作権と対で	joho1 q1 hoki confusable
著作権の保護期間	原則、著作者の死後70年	死後起算	法人著作は公表後70年	joho1 q1 hoki
著作権が制限される主な場合	私的使用のための複製／引用／教育機関での複製／figure引用の要件を満たす場合	例外規定	引用は「主従関係・明瞭区別・必然性・出典明示」が要件	joho1 q1 hoki
引用が適法となる要件	公表済み／主従関係（自分の著作物が主）／明瞭に区別／必然性／出典の明示	4〜5要件	「引用」と「転載」の違いが問われる	joho1 q1 hoki
著作者人格権の3つ	公表権・氏名表示権・同一性保持権	譲渡できない	財産権としての著作権は譲渡できるが、人格権は譲渡不可	joho1 q1 hoki confusable
肖像権とパブリシティ権の違い	肖像権は私生活上の人格的利益。パブリシティ権は著名人の氏名・肖像が持つ顧客吸引力という財産的価値	人格か財産か	どちらも明文の法律はなく判例上の権利	joho1 q1 hoki confusable
個人情報の定義	生存する個人に関する情報で、特定の個人を識別できるもの（他の情報と容易に照合して識別できるものを含む）	生存する	死者の情報は個人情報保護法の対象外	joho1 q1 hoki confusable
要配慮個人情報	人種・信条・社会的身分・病歴・犯罪の経歴・犯罪被害の事実など、不当な差別につながりうる情報	本人同意が原則必須	取得にあらかじめ本人の同意が必要	joho1 q1 hoki
不正アクセス禁止法で禁じられる行為	他人のIDやパスワードを無断で使ってアクセスすること、ID・パスワードを第三者に提供すること	なりすまし	実害がなくても違法。パスワードの提供だけでも該当	joho1 q1 hoki
情報セキュリティの3要素（CIA）	機密性 Confidentiality／完全性 Integrity／可用性 Availability	頭字語CIA	改ざん防止は完全性、サービス停止対策は可用性	joho1 q1 security confusable
共通鍵暗号方式	暗号化と復号に同じ鍵を使う。高速だが、通信相手ごとに鍵が必要で鍵の配送が問題	AES	n人が相互通信するには n(n-1)/2 個の鍵が必要	joho1 q1 security confusable
公開鍵暗号方式	公開鍵で暗号化し、対になる秘密鍵で復号する。鍵配送問題は解決するが処理が遅い	RSA	n人なら鍵は 2n 個。共通鍵と鍵の本数を比較させる問題が頻出	joho1 q1 security confusable
ハイブリッド暗号方式	共通鍵を公開鍵暗号で安全に送り、本文はその共通鍵（高速）で暗号化する	両方の長所	SSL/TLS で実際に使われている	joho1 q1 security
デジタル署名の仕組み	送信者が自分の秘密鍵でハッシュ値を暗号化する。受信者は送信者の公開鍵で復号して照合する	暗号化と鍵が逆	暗号化は相手の公開鍵、署名は自分の秘密鍵。ここが最頻出の混同点	joho1 q1 security confusable
電子証明書と認証局	公開鍵が本人のものであることを第三者機関（認証局 CA）が保証する仕組み	なりすまし対策	公開鍵暗号だけでは公開鍵のすり替えを防げない	joho1 q1 security
ハッシュ関数の性質	任意長の入力から固定長の値を出す。同じ入力からは必ず同じ値。値から元を復元できない（一方向性）	不可逆	改ざん検出に使う。パスワードの保存にも使う	joho1 q1 security
二段階認証と二要素認証の違い	二段階認証は手順が2回。二要素認証は「知識・所持・生体」のうち異なる2種類を使う	要素の種類	パスワード2回は二段階だが二要素ではない	joho1 q1 security confusable
フィッシングとランサムウェア	フィッシングは偽サイトで情報を盗む。ランサムウェアはデータを暗号化して身代金を要求する	手口の違い	マルウェアの分類問題で頻出	joho1 q1 security
ファイアウォールの役割	ネットワークの境界で通信を監視し、許可されていない通信を遮断する	境界防御	ウイルス対策ソフトとは役割が違う	joho1 q1 security
情報デザインの3つの手法	抽象化（単純化・記号化）／可視化（図表・グラフ）／構造化（分類・階層化）	3分類	ピクトグラムは抽象化の例	joho1 q1 design
ユニバーサルデザインとバリアフリーの違い	ユニバーサルデザインは最初からすべての人が使えるように設計する。バリアフリーは既存の障壁を後から取り除く	事前か事後か	対比で問われる	joho1 q1 design confusable
ユーザビリティとアクセシビリティの違い	ユーザビリティは使いやすさ。アクセシビリティは利用できるかどうか（到達可能性）	使えるか／使いやすいか	Webアクセシビリティは代替テキストや色以外の手がかり	joho1 q1 design confusable
色覚に配慮したデザイン	色だけで情報を区別せず、形・位置・パターン・文字を併用する	色以外の手がかり	赤と緑の組み合わせは避ける	joho1 q1 design
メディアの3分類	表現のメディア（文字・音声・画像）／伝達のメディア（電波・紙）／記録のメディア（USB・紙）	3種類	同じ「紙」が伝達にも記録にもなる	joho1 q1 design
PDCAサイクル	Plan 計画 → Do 実行 → Check 評価 → Act 改善	4段階	問題解決の手順として出る	joho1 q1
ブレーンストーミングの4原則	批判しない／自由奔放／質より量／結合便乗（他人の案に乗る）	4つ	KJ法とセットで出る	joho1 q1
10進数の13を2進数で表すと	1101	8+4+1	2で割り続けて余りを下から読む	joho1 digital
2進数 1101 0110 を16進数で表すと	D6	4ビットずつ区切る	2進4桁＝16進1桁。1101=D、0110=6	joho1 digital
8ビットで表せる符号なし整数の範囲	0 〜 255（2^8 = 256通り）	2の8乗	符号付き（2の補数）なら -128 〜 127	joho1 digital confusable
2の補数の作り方	各ビットを反転して1を足す	反転して+1	負の数の表現。引き算を足し算で行える	joho1 digital
標本化・量子化・符号化の順序	標本化（時間で区切る）→ 量子化（値を段階に丸める）→ 符号化（2進数にする）	3段階の順	A/D変換の手順。順番を入れ替える誤答が多い	joho1 digital confusable
標本化定理（サンプリング定理）	元の信号に含まれる最高周波数の2倍を超える周波数で標本化すれば元の波形を復元できる	2倍	CD の 44.1kHz は可聴域 20kHz の2倍強	joho1 digital
量子化ビット数を1増やすと	表現できる段階数が2倍になり、データ量も増える	2のn乗	16ビットなら 65536 段階	joho1 digital
音声データ量の計算式	標本化周波数 × 量子化ビット数 × チャンネル数 × 秒数	掛け算だけ	44100×16×2×60 秒 = 約 10.6 MB	joho1 digital keisan
画像データ量の計算式	横画素数 × 縦画素数 × 1画素あたりのビット数	解像度×階調	フルカラー24ビットなら 1画素3バイト	joho1 digital keisan
解像度と階調の違い	解像度は画素の細かさ（dpi・画素数）。階調は1画素が表せる色の段階数	粒の細かさ／色の細かさ	混同しやすい	joho1 digital confusable
可逆圧縮と非可逆圧縮	可逆は完全に元に戻る（ZIP・PNG・GIF）。非可逆は戻らないが圧縮率が高い（JPEG・MP3）	戻るか戻らないか	形式名とセットで覚える	joho1 digital confusable
圧縮率の定義	圧縮後のデータ量 ÷ 圧縮前のデータ量（×100%）	小さいほど縮んでいる	「圧縮率が高い＝よく縮む」と書く場合もあるので問題文の定義に従う	joho1 digital confusable
ランレングス圧縮	同じ値の連続を「値と連続回数」で表す。AAAABBB → A4B3	連続の回数	単純な図形やFAXに有効。ランダムなデータでは逆に増える	joho1 digital
ハフマン符号化	出現頻度の高い文字に短い符号、低い文字に長い符号を割り当てる可変長符号	頻度で長さを変える	語頭条件（ある符号が他の符号の先頭にならない）を満たす	joho1 digital
パリティチェック	1のビット数が偶数（または奇数）になるように検査ビットを付ける	1ビットの誤り検出	誤りの検出はできるが訂正はできない。2ビット誤りは見逃す	joho1 digital confusable
チェックディジット	数値の最後に検算用の1桁を付けて入力ミスを検出する	バーコード	ISBN やクレジットカード番号で使われる	joho1 digital
文字コード UTF-8 の特徴	ASCII と互換で、1〜4バイトの可変長。英数字は1バイト、日本語は3バイトが多い	可変長	文字化けは文字コードの不一致で起きる	joho1 digital
浮動小数点数で生じる誤差	丸め誤差（表現できず切り捨て）／桁落ち（近い数の差）／情報落ち（大小差の加算）／桁あふれ（表現範囲超え）	4種類	0.1 を2進数で正確に表せないのが丸め誤差の例	joho1 digital confusable
AND・OR・NOT の真理値表	AND は両方1で1。OR はどちらか1で1。NOT は反転	基本3つ	MIL記号も覚える	joho1 ronri
XOR（排他的論理和）の性質	入力が異なるとき1、同じとき0	不一致で1	半加算器の和の部分。パリティ計算にも使う	joho1 ronri
半加算器と全加算器の違い	半加算器は2入力（下位からの桁上がりを考えない）。全加算器は3入力（桁上がり入力を含む）	桁上がり入力	全加算器は半加算器2個とORで作れる	joho1 ronri confusable
ド・モルガンの法則	NOT(A AND B) = NOT A OR NOT B\nNOT(A OR B) = NOT A AND NOT B	否定を分配すると反転	論理式の簡単化に使う	joho1 ronri
CPUのクロック周波数	1秒あたりのクロック数。1GHz は1秒に10億回	Hz	クロックが速いほど命令の実行が速い（同一設計なら）	joho1 hardware
主記憶装置と補助記憶装置	主記憶（メモリ）は高速・揮発性。補助記憶（SSD・HDD）は低速・不揮発性	電源を切ると消えるか	キャッシュメモリは CPU と主記憶の速度差を埋める	joho1 hardware confusable
線形探索と二分探索の計算量	線形探索は O(n)。二分探索は O(log n)。二分探索は整列済みが前提	整列の要否	n=1024 なら二分探索は最大10回	joho1 algorithm confusable
二分探索の手順	中央の要素と比較し、探す値が小さければ左半分、大きければ右半分に範囲を絞る	半分ずつ	毎回範囲が半分になる	joho1 algorithm
選択ソート	未整列部分から最小値を探して先頭と交換することを繰り返す	最小値を選ぶ	比較回数は n(n-1)/2	joho1 algorithm confusable
バブルソート（交換法）	隣り合う要素を比較して順序が逆なら交換することを繰り返す	隣どうし	1回の走査で最大値が末尾に確定する	joho1 algorithm confusable
線形探索で見つからない場合の比較回数	n 回（全要素と比較する）	最悪	平均は (n+1)/2 回	joho1 algorithm keisan
配列の添字	多くの言語で先頭が0から始まる。要素数 n の配列の最後は n-1	0起点	DNCL では問題文の定義に従う	joho1 programming confusable
変数と配列の違い	変数は値を1つ、配列は同じ型の値を添字で並べて複数持つ	添字	配列は繰り返しと組み合わせて使う	joho1 programming
while 文と for 文の使い分け	繰り返し回数が決まっているなら for（〜を〜から〜まで増やしながら）、条件で続けるなら while（〜の間繰り返す）	回数が既知か	DNCL では両方の書き方が出る	joho1 programming
関数（手続き）を使う利点	同じ処理をまとめて再利用でき、修正が1か所で済み、全体の見通しがよくなる	再利用	引数と戻り値の区別を問われる	joho1 programming
確定的モデルと確率的モデル	確定的モデルは同じ入力から必ず同じ結果。確率的モデルは乱数を使い結果がばらつく	乱数の有無	待ち行列やモンテカルロ法は確率的	joho1 model confusable
モンテカルロ法で円周率を求める原理	正方形内にランダムに点を打ち、内接する四分円に入った点の割合が π/4 に近づく	面積比	試行回数を増やすほど精度が上がる	joho1 model
シミュレーションを使う理由	実際に試すのが危険・高コスト・時間がかかる・不可能な場合に、モデルで代替して調べる	現実の代替	モデルは現実の単純化なので前提の妥当性が重要	joho1 model
