front	back	hint	memo	tags
あはれなり	しみじみと心を動かされる／かわいそうだ	形容動詞	「をかし」が理知的な美なのに対し、こちらは情緒的な感動	kobun tango
をかし	趣がある／興味深い／こっけいだ	形容詞	「あはれなり」と対で覚える。明るく知的な美	kobun tango confusable
いみじ	程度がはなはだしい（良いにも悪いにも使う）	形容詞	文脈で「すばらしい」にも「ひどい」にもなる	kobun tango
ゆゆし	不吉だ／はなはだしい／すばらしい	形容詞	元は「忌むべきだ」。良い方向にも振れる	kobun tango
あさまし	驚きあきれる／情けない	形容詞	現代語の「あさましい」とはずれる	kobun tango confusable
あからさまなり	ほんのちょっとだ／急だ	形容動詞	現代語の「露骨だ」ではない	kobun tango confusable
あぢきなし	どうしようもない／つまらない	形容詞	無益さへの嘆き	kobun tango
あたらし（惜し）	惜しい／もったいない	形容詞	「新し」は「あらたし」。区別する	kobun tango confusable
あやし	不思議だ／身分が低い／みすぼらしい	形容詞	「怪し」と「賤し」の二系統	kobun tango
ありがたし	めったにない／生きるのが難しい	形容詞	「感謝」の意味は後世	kobun tango confusable
いたづらなり	むだだ／むなしい／手持ちぶさただ	形容動詞	「いたづらになる」で「死ぬ」	kobun tango
いとほし	気の毒だ／かわいい	形容詞	現代語の「愛おしい」に近い意味もある	kobun tango
うしろめたし	気がかりだ／不安だ	形容詞	「うしろやすし」は「安心だ」	kobun tango confusable
うたてし	いやだ／情けない	形容詞	副詞「うたて」も同系	kobun tango
うつくし	かわいらしい／いとしい	形容詞	現代語の「美しい」ではなく「小さくてかわいい」	kobun tango confusable
おこたる	病気がよくなる／怠ける	動詞	「病おこたる」で「快方に向かう」	kobun tango confusable
おどろく	目を覚ます／はっと気づく	動詞	「驚愕」ではない用法が頻出	kobun tango confusable
おぼえ	評判／寵愛／記憶	名詞	「おぼゆ」の名詞形	kobun tango
おぼゆ	自然と思われる／似る／思い出される	動詞	自発の意味が中心	kobun tango
おほやけ	朝廷／天皇／公的なこと	名詞	対義は「わたくし」	kobun tango
かしこし	恐れ多い／すぐれている	形容詞	「かしこまる」と同系	kobun tango
かたはらいたし	そばで見ていてつらい／気の毒だ／みっともない	形容詞	現代語「片腹痛い」とは意味がずれる	kobun tango confusable
かなし	いとしい／心が引かれる／悲しい	形容詞	「愛し」の意味が第一	kobun tango confusable
きこゆ	申し上げる／評判になる／聞こえる	動詞	謙譲の補助動詞としても使う	kobun keigo
くちをし	残念だ／つまらない	形容詞	期待外れの気持ち	kobun tango
けし（異し・怪し）	変だ／普通でない	形容詞	「けしからず」で「異様だ」	kobun tango
こころう（心得）	理解する／承知する	動詞	「心得ず」は「納得がいかない」	kobun tango
こころにくし	奥ゆかしい／心引かれる	形容詞	「憎い」ではない	kobun tango confusable
こころもとなし	待ち遠しい／不安だ／はっきりしない	形容詞	じれったさ	kobun tango
さうざうし	もの足りない／心さびしい	形容詞	「騒々しい」ではない	kobun tango confusable
さすがに	そうはいってもやはり	副詞	逆接的な譲歩	kobun tango
さらなり	言うまでもない	形容動詞	「言ふもさらなり」「さらなり」	kobun tango
すさまじ	興ざめだ／殺風景だ	形容詞	現代語「凄まじい」とずれる	kobun tango confusable
せうと（兄人）	兄弟	名詞	女性から見た兄または弟	kobun tango
たのむ	あてにする／あてにさせる	動詞	四段は「あてにする」、下二段は「あてにさせる」	kobun tango confusable
つきづきし	似つかわしい／ふさわしい	形容詞	「付き付きし」	kobun tango
つれづれなり	することがなく退屈だ／もの寂しい	形容動詞	『徒然草』の書名	kobun tango
ときめく	寵愛を受けて栄える	動詞	現代語の「胸がときめく」ではない	kobun tango confusable
なかなか	かえって／なまじっか	副詞	「中途半端に〜するくらいなら」	kobun tango confusable
ながむ	物思いにふける／遠くを見やる	動詞	「眺む」。和歌では「長雨」との掛詞	kobun tango
なつかし	心引かれる／慕わしい	形容詞	「懐かしい」より広く「親しみやすい」	kobun tango confusable
にほふ	美しく照り映える／香る	動詞	視覚の意味が先。色の美しさ	kobun tango confusable
ねんごろなり	丁寧だ／親密だ	形容動詞	「懇ろ」	kobun tango
はかなし	頼りない／ちょっとした／むなしい	形容詞	「果無し」。無常観と結びつく	kobun tango
はづかし	こちらが恥ずかしくなるほど立派だ	形容詞	相手のすばらしさを表す	kobun tango confusable
びんなし（便無し）	不都合だ／気の毒だ	形容詞	「便あり」は「都合がよい」	kobun tango
ふびんなり	不都合だ／気の毒だ	形容動詞	「不便なり」と書く	kobun tango
まめなり	誠実だ／実用的だ	形容動詞	対は「あだなり（浮ついている）」	kobun tango
むつかし	うっとうしい／気味が悪い／面倒だ	形容詞	「難しい」ではない	kobun tango confusable
めづらし	すばらしい／新鮮だ	形容詞	「めづ（賞美する）」から。珍奇ではなく賞賛	kobun tango confusable
やうやう	だんだん／しだいに	副詞	『枕草子』冒頭「やうやう白くなりゆく」	kobun tango
やがて	そのまま／すぐに	副詞	現代語の「そのうち」ではない	kobun tango confusable
ゆかし	見たい・聞きたい・知りたい	形容詞	心が引かれて〜したい	kobun tango
ようせずは	ひょっとすると／悪くすると	連語	「よくせずは」とも	kobun tango
よし（由）	理由／方法／由緒／〜という事情	名詞	「よし」の多義は記述で狙われる	kobun tango
わりなし	道理に合わない／どうしようもない／たまらない	形容詞	「理無し」	kobun tango
ゐる（居る）	座る／じっとしている	動詞	「率る（引き連れる）」と区別	kobun tango confusable
をこなり	ばかげている／愚かだ	形容動詞	「烏滸」	kobun tango
たまふ（四段）	お与えになる（尊敬）	敬語	下二段は「〜させていただく」の謙譲	kobun keigo confusable
たまふ（下二段）	〜させていただく（謙譲）	敬語	会話文中で「思ひたまふ」の形が多い	kobun keigo confusable
はべり	あります・おります（丁寧）／お仕えする（謙譲）	敬語	文末の丁寧が中心	kobun keigo
さぶらふ	お仕えする（謙譲）／あります（丁寧）	敬語	「はべり」と同様	kobun keigo
おはす・おはします	いらっしゃる（尊敬）	敬語	「あり」「行く」「来」の尊敬	kobun keigo
たてまつる	差し上げる（謙譲）／召し上がる・お召しになる（尊敬）	敬語	本動詞と補助動詞で意味が変わる	kobun keigo confusable
まゐる	参上する（謙譲）／召し上がる（尊敬）	敬語	「参る」の二方向	kobun keigo confusable
けり	過去（〜た）／詠嘆（〜だなあ）	助動詞	和歌や会話文中では詠嘆	kobun bunpo confusable
き	過去（自分が直接体験した）	助動詞	「けり」は伝聞・回想	kobun bunpo confusable
ぬ・つ	完了（〜てしまった）／強意（きっと〜）	助動詞	推量の語を伴うと強意。「なむ」「てむ」「ぬべし」「つべし」	kobun bunpo
む	推量／意志／勧誘／婉曲	助動詞	主語が一人称なら意志、二人称なら勧誘、三人称なら推量	kobun bunpo
べし	推量／意志／可能／当然／命令／適当	助動詞	スイカトメテ の頭字で覚える	kobun bunpo
なり（伝聞推定）	〜そうだ／〜のようだ	助動詞	終止形接続。断定の「なり」は連体形・体言接続	kobun bunpo confusable
る・らる	受身／尊敬／自発／可能	助動詞	可能は下に打消を伴うことが多い	kobun bunpo
す・さす・しむ	使役／尊敬	助動詞	下に尊敬語があると尊敬（二重敬語）になりやすい	kobun bunpo
係り結び	ぞ・なむ・や・か → 連体形、こそ → 已然形	文法	「こそ〜已然形、」で逆接になる用法に注意	kobun bunpo
