front	back	hint	memo	tags
2次方程式の解と係数の関係	ax^2+bx+c=0 の2解を α,β とすると α+β = -b/a、αβ = c/a	和と積	対称式は α+β と αβ で表す	suugaku daisu
判別式	D = b^2 - 4ac。D>0 異なる2実解、D=0 重解、D<0 虚数解	実数解の個数	D/4 = (b/2)^2 - ac も使える	suugaku daisu
相加相乗平均	a>0, b>0 のとき (a+b)/2 ≧ √(ab)。等号は a=b のとき	正であることが条件	最小値を求めるときの定番。等号成立条件を必ず書く	suugaku daisu
コーシー・シュワルツの不等式	(a^2+b^2)(x^2+y^2) ≧ (ax+by)^2	内積の不等式	等号は a:b = x:y	suugaku daisu
三角関数の加法定理	sin(α±β) = sinα cosβ ± cosα sinβ\ncos(α±β) = cosα cosβ ∓ sinα sinβ	符号に注意	cos は符号が逆になる	suugaku sankaku
2倍角の公式	sin2θ = 2sinθcosθ\ncos2θ = 1-2sin^2θ = 2cos^2θ-1	加法定理から	半角公式は cos2θ の式を変形して得る	suugaku sankaku
三角関数の合成	a sinθ + b cosθ = √(a^2+b^2) sin(θ+α)	√(a^2+b^2)	tanα = b/a。最大最小の頻出手法	suugaku sankaku
正弦定理	a/sinA = b/sinB = c/sinC = 2R	外接円の半径	R が絡むときはこれ	suugaku sankaku
余弦定理	a^2 = b^2 + c^2 - 2bc cosA	3辺と1角	2辺と挟角、または3辺が分かるとき	suugaku sankaku
三角形の面積	S = (1/2)bc sinA = √(s(s-a)(s-b)(s-c))	2辺と挟角 / ヘロン	内接円なら S = rs	suugaku zukei
点と直線の距離	d = |ax0+by0+c|/√(a^2+b^2)	絶対値	直線は ax+by+c=0 の形にしてから	suugaku zukei
円の方程式	(x-a)^2 + (y-b)^2 = r^2	中心と半径	一般形 x^2+y^2+lx+my+n=0 は平方完成する	suugaku zukei
等差数列の和	Sn = n(a1+an)/2 = n{2a1+(n-1)d}/2	初項と末項	項数の数え方に注意	suugaku suuretsu
等比数列の和	Sn = a1(1-r^n)/(1-r) （r≠1）	r=1 の場合分け	r=1 のときは Sn = na1	suugaku suuretsu confusable
