front	back	hint	memo	tags
日本国憲法の三大原理	国民主権・基本的人権の尊重・平和主義	3つ	前文と第1条・第9条・第11条に現れる	seikei kenpo
憲法改正の手続き	各議院の総議員の3分の2以上の賛成で国会が発議し、国民投票で過半数の賛成	3分の2と過半数	国民投票法で投票年齢は18歳以上	seikei kenpo
法の下の平等	第14条。人種・信条・性別・社会的身分・門地により差別されない	第14条	尊属殺重罰規定違憲判決・国籍法違憲判決・非嫡出子相続分違憲決定	seikei kenpo
生存権と朝日訴訟	第25条「健康で文化的な最低限度の生活」。朝日訴訟でプログラム規定説が示された	第25条	堀木訴訟でも同様の立場	seikei kenpo confusable
違憲審査権	第81条。すべての裁判所が持つが、最高裁が終審裁判所（憲法の番人）	付随的審査制	具体的な事件を離れて抽象的に審査はできない	seikei kenpo
統治行為論	高度に政治性のある国家行為は司法審査の対象外とする考え方	砂川事件・苫米地事件	司法消極主義の表れ	seikei kenpo
国会の地位	国権の最高機関であり、国の唯一の立法機関（第41条）	第41条	唯一の立法機関の例外は議院規則・最高裁規則など	seikei tochi
衆議院の優越が認められる事項	法律案（3分の2で再可決）・予算の議決・条約の承認・内閣総理大臣の指名	4つ+予算先議権	予算先議権と内閣不信任決議権は衆議院のみ	seikei tochi confusable
内閣不信任決議が可決されたら	10日以内に衆議院を解散するか、内閣総辞職	10日以内	衆議院のみが行える	seikei tochi
議院内閣制	内閣が国会の信任にもとづいて成立し、国会に対して連帯して責任を負う	信任と責任	アメリカの大統領制と対比	seikei tochi confusable
大統領制（アメリカ）の特徴	大統領は国民が実質的に選出し、議会に対して責任を負わない。法案提出権はなく教書で勧告する	厳格な三権分立	拒否権はあるが解散権はない	seikei tochi confusable
日本の選挙制度（衆議院）	小選挙区比例代表並立制。小選挙区289＋比例176	並立制	重複立候補と惜敗率がある	seikei senkyo confusable
日本の選挙制度（参議院）	選挙区制＋非拘束名簿式比例代表制。3年ごとに半数改選	非拘束名簿	一部に合区（鳥取・島根、徳島・高知）	seikei senkyo confusable
小選挙区制の長所短所	長所は政局が安定し二大政党になりやすい。短所は死票が多く民意が反映されにくい	死票	比例代表はその逆	seikei senkyo confusable
一票の格差	選挙区ごとの議員1人あたり有権者数の差。法の下の平等に反すると争われる	第14条	最高裁は違憲状態と判断しつつ選挙は有効とすることが多い（事情判決の法理）	seikei senkyo
地方自治の本旨	団体自治（国から独立して自治体が処理）と住民自治（住民の意思で運営）	2つの自治	第92条	seikei chiho confusable
直接請求権の種類と必要署名数	条例の制定改廃・監査請求は50分の1以上。議会の解散・首長や議員の解職は3分の1以上	50分の1と3分の1	解職請求（リコール）は住民投票で過半数	seikei chiho confusable
国際連合の主要機関	総会・安全保障理事会・経済社会理事会・信託統治理事会・国際司法裁判所・事務局	6つ	信託統治理事会は活動停止中	seikei kokusai
安全保障理事会の構成と拒否権	常任理事国5か国（米英仏中露）＋非常任理事国10か国。実質事項は常任理事国の全会一致が必要	5大国一致	1か国でも反対すれば否決＝拒否権	seikei kokusai
平和のための結集決議	安保理が拒否権で機能しないとき、総会が緊急特別会期で措置を勧告できる	1950年	朝鮮戦争を機に採択	seikei kokusai
PKO参加5原則	停戦合意／受入れ同意／中立性／これらが満たされない場合の撤収／武器使用は必要最小限	5つ	1992年PKO協力法	seikei kokusai
国際司法裁判所の管轄	国家間の紛争を扱う。当事国双方の同意がなければ裁判できない	国家のみ	個人の犯罪は国際刑事裁判所（ICC）	seikei kokusai confusable
需要曲線が右にシフトする要因	所得の増加、代替財の価格上昇、補完財の価格低下、嗜好の高まり、人口増加	価格以外の要因	価格変化は曲線上の移動であってシフトではない	seikei keizai confusable
供給曲線が右にシフトする要因	生産技術の向上、原材料価格の低下、生産者数の増加	コスト低下	価格変化は曲線上の移動	seikei keizai confusable
価格の自動調節機能	超過需要なら価格上昇、超過供給なら価格下落し、均衡価格に収束する	見えざる手	アダム・スミス	seikei keizai
需要の価格弾力性	価格が1%変化したときの需要量の変化率。生活必需品は小さく、ぜいたく品は大きい	弾力性	弾力性が小さい財は価格を上げると売上が増える	seikei keizai
市場の失敗の例	独占・寡占／外部不経済／公共財の供給不足／情報の非対称性	4つ	公共財は非競合性と非排除性を持つ	seikei keizai confusable
外部不経済と外部経済	外部不経済は公害のように第三者に不利益。外部経済は養蜂と果樹園のように第三者に利益	市場を通さない影響	課税や補助金で内部化する	seikei keizai confusable
寡占市場の特徴	価格の下方硬直性、非価格競争（広告・デザイン）、プライスリーダー制	下方硬直性	独占禁止法と公正取引委員会	seikei keizai
GDPの定義	一定期間に国内で生産された財・サービスの付加価値の合計	国内・付加価値	中間生産物は差し引く。中古品や株式売買は含まない	seikei keizai confusable
GNI（国民総所得）とGDPの違い	GNI = GDP + 海外からの純所得。GDPは属地主義、GNIは属人主義	場所か国民か	かつてのGNP	seikei keizai confusable
三面等価の原則	生産・分配・支出の3つの側面から見た国民所得は等しくなる	3面	事後的に必ず一致する	seikei keizai
名目GDPと実質GDP	名目は時価。実質は基準年の価格で計算し物価変動を除いたもの	物価の影響	GDPデフレーター = 名目 ÷ 実質 × 100	seikei keizai confusable
インフレーションの種類	ディマンドプル型（需要超過）とコストプッシュ型（原材料費上昇）	需要か費用か	スタグフレーションは不況とインフレの同時進行	seikei keizai confusable
景気循環の4局面と種類	好況・後退・不況・回復。キチン（在庫40か月）／ジュグラー（設備10年）／クズネッツ（建築20年）／コンドラチェフ（技術50年）	4種類の周期	周期と要因をセットで	seikei keizai confusable
財政の3つの機能	資源配分の調整／所得の再分配／経済の安定化	3機能	累進課税と社会保障は再分配	seikei zaisei confusable
ビルトインスタビライザー	累進課税と社会保障により、景気変動が自動的に緩和される仕組み	自動安定化装置	裁量的財政政策（フィスカルポリシー）と対比	seikei zaisei confusable
直接税と間接税	直接税は納税者と担税者が同じ（所得税・法人税）。間接税は異なる（消費税・酒税）	一致するか	日本は直間比率が見直され間接税の比重が上昇	seikei zaisei confusable
累進課税と逆進性	累進課税は所得が高いほど税率が高い。消費税は低所得者ほど負担割合が重い（逆進性）	公平性	軽減税率は逆進性の緩和策	seikei zaisei confusable
財政投融資	国が資金を調達して政策的に投融資する。かつて郵便貯金・年金積立金が原資（第二の予算）	第二の予算	2001年改革で財投債による市場調達に	seikei zaisei
プライマリーバランス	国債関係を除いた歳出と、国債発行を除いた歳入の収支	基礎的財政収支	黒字化が財政再建の目標	seikei zaisei
建設国債と赤字国債	建設国債は財政法第4条で公共事業などに認められる。赤字国債は特例法が必要	第4条	特例国債とも呼ぶ	seikei zaisei confusable
日本銀行の3つの役割	発券銀行・銀行の銀行・政府の銀行	3つ	金融政策の決定は政策委員会	seikei kinyu
公開市場操作	買いオペは国債を買って資金を供給（金融緩和）。売りオペは資金を吸収（金融引き締め）	買うと緩和	現在の金融政策の中心手段	seikei kinyu confusable
預金準備率操作	市中銀行が日銀に預ける割合を上下させる。引き下げは緩和	現在は使われていない	日本では1991年以降変更なし	seikei kinyu
信用創造	銀行が預金と貸出を繰り返すことで、当初の預金の何倍もの預金通貨を作り出す仕組み	預金÷準備率	創造額 = 最初の預金 × (1/支払準備率) - 最初の預金	seikei kinyu keisan
ゼロ金利政策と量的緩和	ゼロ金利は短期金利をほぼ0に誘導。量的緩和は日銀当座預金残高そのものを目標にする	金利か量か	マイナス金利政策は2016年導入	seikei kinyu confusable
BIS規制	国際業務を行う銀行に自己資本比率8%以上を求める	8%	国内業務のみは4%	seikei kinyu
ペイオフ	金融機関が破綻したとき、預金保険で元本1000万円とその利息までを保護する	1000万円	2005年全面解禁	seikei kinyu
労働三権	団結権・団体交渉権・団体行動権（争議権）（第28条）	3つ	公務員は一部制限される	seikei rodo confusable
労働三法	労働基準法・労働組合法・労働関係調整法	3つ	労働三権と混同しない	seikei rodo confusable
法定労働時間	1日8時間、1週40時間	8と40	超える場合は36協定が必要	seikei rodo
