question	answer	unit	tolerance	solution	memo	tags
標準状態（0℃、1.013×10^5 Pa）で 5.6 L の酸素は何 mol か。	0.25	mol	1	気体 1 mol の体積は標準状態で 22.4 L。5.6 ÷ 22.4 = 0.25 mol	標準状態の 22.4 L	keisan
塩化ナトリウム（式量 58.5）11.7 g を水に溶かして 500 mL にした。モル濃度は何 mol/L か。	0.4	mol/L	1	11.7 ÷ 58.5 = 0.200 mol。0.200 ÷ 0.500 = 0.400 mol/L	モル濃度は体積あたり	keisan
メタン CH4 1.0 mol を完全燃焼させるのに必要な酸素は何 mol か。	2.0	mol	1	CH4 + 2O2 → CO2 + 2H2O。係数比より酸素は 2 倍	係数比から物質量を出す	keisan
0.10 mol/L の酢酸水溶液の pH。Ka = 2.7×10^-5 mol/L	2.8	pH	2	弱酸なので [H+] = √(Ka·c) = √(2.7×10^-5 × 0.10) ≒ 1.6×10^-3。pH ≒ 2.8	弱酸の電離: [H+] = √(Ka·c)	keisan
1.0×10^-2 mol/L の塩酸の pH はいくらか。	2.0	pH	1	強酸で完全に電離するので [H+] = 1.0×10^-2 mol/L。pH = 2.0	強酸は [H+] = c。弱酸と取り違えやすい	keisan confusable
27℃ で 2.0 mol の理想気体が 8.3×10^4 Pa を示すときの体積は何 L か。R = 8.3×10^3 Pa·L/(mol·K)	60	L	2	V = nRT/P = 2.0 × 8.3×10^3 × 300 ÷ 8.3×10^4 = 60 L	絶対温度に直すのを忘れない	keisan
水 100 g に塩化ナトリウム 25 g を溶かした水溶液の質量パーセント濃度は何％か。	20	%	1	25 ÷ (100 + 25) × 100 = 20 %	分母は溶液全体。溶媒ではない	keisan confusable
0.10 mol/L の硫酸 10 mL を中和するのに必要な 0.10 mol/L の水酸化ナトリウム水溶液は何 mL か。	20	mL	1	硫酸は 2 価。0.10×0.010×2 = 2.0×10^-3 mol の H+。NaOH は 1 価なので 2.0×10^-3 ÷ 0.10 = 0.020 L	価数を掛け忘れない	keisan confusable
炭酸カルシウム 10.0 g を完全に熱分解したとき生じる二酸化炭素は標準状態で何 L か。式量 CaCO3 = 100	2.24	L	1	10.0 ÷ 100 = 0.100 mol。CaCO3 → CaO + CO2 より CO2 は 0.100 mol。0.100 × 22.4 = 2.24 L	質量→mol→係数比→体積	keisan
質量数 35 の塩素が 75.0％、質量数 37 が 25.0％のとき、塩素の原子量はいくらか。	35.5		1	35 × 0.750 + 37 × 0.250 = 26.25 + 9.25 = 35.5	同位体の存在比による加重平均	keisan
2.0 A の電流を 1930 秒流したとき通過する電気量は何 C か。	3860	C	1	Q = It = 2.0 × 1930 = 3860 C	ファラデー定数 96500 C/mol と組み合わせる	keisan
硫酸銅(II)水溶液を 0.100 mol の電子が流れるまで電気分解したとき、陰極に析出する銅は何 g か。原子量 Cu = 64	3.2	g	1	Cu2+ + 2e- → Cu より Cu は 0.100 ÷ 2 = 0.0500 mol。0.0500 × 64 = 3.2 g	電子の物質量と価数の関係	keisan
60℃ の水 100 g に硝酸カリウムは 110 g 溶ける。20℃ では 32 g 溶けるとき、60℃ の飽和水溶液 210 g を 20℃ に冷やすと何 g 析出するか。	78	g	1	水 100 g あたり 110 - 32 = 78 g が析出する	飽和水溶液 210 g = 水 100 g + 溶質 110 g	keisan
0.50 mol/L のグルコース水溶液の 27℃ における浸透圧は何 Pa か。R = 8.3×10^3 Pa·L/(mol·K)	1245000	Pa	2	Π = cRT = 0.50 × 8.3×10^3 × 300 = 1.245×10^6 Pa	ファントホッフの法則	keisan
水 1000 g にグルコース 0.10 mol を溶かした水溶液の沸点上昇度は何 K か。Kb = 0.52 K·kg/mol	0.052	K	2	Δt = Kb × m = 0.52 × 0.10 = 0.052 K	質量モル濃度を使う。モル濃度ではない	keisan confusable
水 1000 g に塩化ナトリウム 0.10 mol を溶かした水溶液の凝固点降下度は何 K か。Kf = 1.85 K·kg/mol	0.37	K	2	NaCl は電離して粒子が 2 倍。Δt = 1.85 × 0.10 × 2 = 0.37 K	電解質は電離後の粒子数で考える	keisan confusable
メタンの燃焼熱が 891 kJ/mol のとき、メタン 8.0 g の完全燃焼で発生する熱量は何 kJ か。分子量 CH4 = 16	445.5	kJ	1	8.0 ÷ 16 = 0.50 mol。0.50 × 891 = 445.5 kJ	mol に直してから掛ける	keisan
反応 N2 + 3H2 ⇄ 2NH3 が平衡に達し、各濃度が N2 = 1.0、H2 = 2.0、NH3 = 4.0 mol/L のとき平衡定数 K はいくらか。	2.0		2	K = [NH3]^2 / ([N2][H2]^3) = 16 / (1.0 × 8.0) = 2.0	指数は係数。分母の 3 乗を忘れない	keisan confusable
pH = 3 の塩酸を水で 100 倍に薄めたときの pH はいくらか。	5	pH	1	[H+] が 1/100 になるので pH は 2 増えて 5	10 倍で 1 増える	keisan
0.20 mol/L の水酸化ナトリウム水溶液の pH。Kw = 1.0×10^-14	13.3	pH	2	[OH-] = 0.20 なので pOH = -log(0.20) ≒ 0.70。pH = 14 - 0.70 = 13.3	pH + pOH = 14	keisan
