name	formula	category	props	uses	memo	tags
アンモニア	NH3	無機・水素化合物	無色刺激臭の気体。水に非常によく溶け弱塩基性。空気より軽い。	上方置換で捕集。硝酸の原料。	乾燥にソーダ石灰を使う。濃硫酸・塩化カルシウムは不可	muki gas
塩化水素	HCl	無機・水素化合物	無色刺激臭の気体。水に極めてよく溶け強酸(塩酸)。空気より重い。	下方置換で捕集。	乾燥は濃硫酸。ソーダ石灰は不可	muki gas
硫化水素	H2S	無機・水素化合物	腐卵臭の有毒気体。水に溶け弱酸性。還元性が強い。	多くの金属イオンと硫化物の沈殿をつくり系統分析に使う。	下方置換。SO2 と反応して硫黄が析出（H2S が還元剤）	muki gas
二酸化硫黄	SO2	無機・酸化物	無色刺激臭の有毒気体。水に溶け亜硫酸となる。	漂白剤、接触法の原料。	通常は還元剤だが H2S に対しては酸化剤。ここが頻出	muki gas confusable
三酸化硫黄	SO3	無機・酸化物	無色の固体または気体。水と激しく反応して硫酸になる。	接触法の中間生成物。	水に直接通さず濃硫酸に吸収させて発煙硫酸とする	muki
一酸化窒素	NO	無機・酸化物	無色の気体。水に溶けにくい。空気中で直ちに酸化されて NO2 になる。	水上置換で捕集。	希硝酸と銅の反応で発生	muki gas
二酸化窒素	NO2	無機・酸化物	赤褐色刺激臭の有毒気体。水に溶ける。	下方置換で捕集。	濃硝酸と銅の反応で発生。NO と対で覚える	muki gas confusable
塩素	Cl2	無機・ハロゲン単体	黄緑色刺激臭の有毒気体。水に溶け塩素水となり酸化・漂白作用を示す。	下方置換で捕集。水と濃硫酸に通して精製・乾燥。	MnO2 と濃塩酸を加熱して発生	muki gas
硫酸	H2SO4	無機・オキソ酸	濃硫酸は不揮発性・吸湿性・脱水作用。熱濃硫酸は強い酸化作用。	乾燥剤、電池、肥料。	希硫酸は金属と反応して水素を発生。熱濃硫酸は酸化剤としてはたらく	muki acid
硝酸	HNO3	無機・オキソ酸	強酸かつ強い酸化剤。光や熱で分解するため褐色びんに保存する。	火薬、肥料の原料。	希硝酸は NO、濃硝酸は NO2 を発生。Al・Fe・Ni は濃硝酸で不動態	muki acid confusable
水酸化ナトリウム	NaOH	無機・塩基	白色固体。潮解性。水に溶けて強塩基性。	乾燥剤(酸性気体には不可)、石けん製造。	炭酸ナトリウム十水和物の風解と対で覚える	muki base confusable
