ja	en	structures	traps	memo	tags
言うは易く行うは難し。	It is easier said than done.	「易く／難し」を easy / difficult の対で並べない\n定型 easier said than done を使う	ことわざを逐語訳しない	京大は諺・慣用句を出す。定型があるものは定型で	kyodai-proverb
必要は発明の母である。	Necessity is the mother of invention.	無冠詞の Necessity で始める\nthe mother of invention と定冠詞	Necessity に a を付けない	抽象名詞の無冠詞	kyodai-proverb
覆水盆に返らず。	It is no use crying over spilt milk.	It is no use -ing の構文に落とす\n「盆」「水」を訳さない	水と盆をそのまま英語にしない	意味に開いてから定型に載せる	kyodai-proverb
聞くは一時の恥、聞かぬは一生の恥。	Asking may bring a moment's shame, but not asking brings a lifetime of it.	動名詞主語を対で並べる（Asking / not asking）\n「一時」「一生」を a moment's / a lifetime で対比	「恥」を shame で二度繰り返さず it で受ける	対句は英語でも対句の形を保つ	kyodai-proverb
急がば回れ。	More haste, less speed.	定型 More haste, less speed を使う\n動詞を補わない比較級の対句	「急ぐ」を hurry と直訳して文にしない	定型を知らなければ Haste makes waste. でも可	kyodai-proverb
彼は口を開けば文句ばかりだ。	He never opens his mouth without complaining.	never ... without -ing の二重否定に落とす\n「ばかりだ」を only で処理しない	「ばかり」を always や only で処理すると不自然	二重否定は京大和文英訳の定番の型	kyodai-structure
この本を読まずに彼を語ることはできない。	You cannot discuss him without having read this book.	cannot ... without -ing\n「読まずに」は完了の having read で時間差を出す	without reading だと同時になる	完了動名詞で前後関係を出す	kyodai-structure
彼の話を聞けば聞くほど分からなくなった。	The more I listened to him, the less I understood.	The 比較級 ..., the 比較級 ... の構文\n「分からなくなる」を the less I understood と肯定形で処理	not understand を比較級にしようとしない	否定内容を反対語の比較級で出す	kyodai-structure
努力したからといって必ず報われるわけではない。	Working hard does not necessarily mean you will be rewarded.	部分否定 not necessarily\n動名詞主語 Working hard	not always と not never を混同しない	部分否定は京大頻出	kyodai-structure
私が言いたいのは、彼が悪いということではない。	What I mean is not that he is to blame.	関係代名詞 what で主語を作る\nnot that 節で否定の焦点をずらす	It is not that ... と混同しない	焦点の位置を that 節の前に置く	kyodai-structure
知れば知るほど、自分が何も知らないと分かる。	The more you know, the more you realize how little you know.	The 比較級構文\nhow little you know で「いかに知らないか」	how much you don't know とせず how little	little を使った婉曲否定	kyodai-structure
そんなことをするくらいなら死んだほうがましだ。	I would rather die than do such a thing.	would rather A than B\n両辺とも原形	than 以下を to do にしない	「〜のほうがましだ」の定型	kyodai-structure
彼が来るかどうかは問題ではない。	Whether he comes or not is beside the point.	Whether 節を主語に立てる\nbeside the point で「問題ではない」	If 節を主語にしない	主語の whether/if の使い分け	kyodai-structure
何度説明しても彼は納得しなかった。	No matter how often I explained, he was not convinced.	No matter how ... の譲歩\n「納得する」を be convinced で受身に	understand で処理すると意味がずれる	譲歩構文＋受身	kyodai-structure
人は失って初めてその価値に気づく。	It is not until we lose something that we realize its value.	It is not until ... that ... の強調構文\n「初めて」を not until で出す	for the first time を使わない	not until 構文は京大定番	kyodai-structure
彼女は見かけによらずしっかりしている。	She is more sensible than she looks.	比較級 + than she looks\n「見かけによらず」を than 節で処理	in spite of her appearance と冗長にしない	「見かけ」は than she looks で足りる	kyodai-idiom
その話はどうも腑に落ちない。	Something about that story doesn't quite convince me.	Something about 〜 を主語に立てる\n「どうも〜ない」に not quite	「腑に落ちない」を直訳しない	慣用句は意味に開いてから	kyodai-idiom
彼は仕事の鬼だ。	He is a demon for work.	a demon for work の定型\n「鬼」を devil や ogre にしない	比喩をそのまま訳さない	a glutton for work でも可	kyodai-idiom
背に腹はかえられない。	Necessity knows no law.	定型に載せる\n身体語彙を訳さない	背中と腹を英語にしない	意味は「やむを得ない」	kyodai-proverb
弘法にも筆の誤り。	Even Homer sometimes nods.	英語側の等価な諺に置き換える\n固有名詞は英語の諺のものを使う	弘法をローマ字で出さない	文化固有名詞は等価表現に	kyodai-proverb
石橋を叩いて渡る。	Look before you leap.	命令文の定型\n橋も石も訳さない	逐語訳しない	慎重さを表す定型	kyodai-proverb
時間はあっという間に過ぎた。	Time flew by before I knew it.	before I knew it で「あっという間に」\nfly by で時間の経過	in a moment だと弱い	時間表現の定型	kyodai-idiom
彼は約束を守る人だ。	He is a man of his word.	a man of his word の定型\nkeep a promise を使わずに名詞句で	He always keeps his promise でも可だが定型を優先	名詞句で人物を規定する型	kyodai-idiom
私にはそれが精一杯だった。	That was the best I could do.	the best I could do の定型\n関係代名詞の省略	my best effort と名詞化しない	「精一杯」の定型	kyodai-idiom
考えれば考えるほど分からなくなる、というのはよくあることだ。	It often happens that the more you think about something, the less you understand it.	It often happens that ... の形式主語\n中に The 比較級構文を入れ子にする	二重構造を一文で崩さない	構文の入れ子は京大の得点源	kyodai-structure
本を読むとは、他人の頭で考えることだ。	To read a book is to think with someone else's head.	主語と補語の形をそろえる（To read 〜 is to think 〜）\n「他人の頭で」を with someone else's head	片方だけ動名詞にしない	A is B の形をそろえる	kyodai-structure
若いうちの苦労は買ってでもせよ、とはよく言ったものだ。	How true it is that you should seek out hardship while you are young.	How true it is that ... の感嘆\n「買ってでも」を seek out と言い換える\n「若いうち」を while you are young	buy を使わない	諺＋感嘆の二重構造	kyodai-proverb
学問に王道なし。	There is no royal road to learning.	There is no ... to 〜 の定型\nroyal road をそのまま使う	king's way としない	定型がそのまま使える例	kyodai-proverb
彼の言うことには一理ある。	There is something in what he says.	There is something in 〜 の定型\nwhat 節で「彼の言うこと」	one reason と直訳しない	「一理」は something in	kyodai-idiom
案ずるより産むが易し。	Fear often exceeds the danger.	抽象名詞を主語にして対比\n出産の比喩を訳さない	give birth を使わない	意味は「心配より実行」	kyodai-proverb
彼は少なくとも自分が無知であることを知っているだけましだ。	He is better off in that he at least knows that he knows nothing.	「だけましだ」を be better off で出す\n「〜という点で」を in that 節で補う\n「知らないということを知っている」を knows that he knows nothing と入れ子に	「ましだ」に good の比較級を当てない	入れ子の that 節を崩さない	kyodai-structure
