word	meaning	pos	root	example	exampleJa	collocation	memo	tags
attribute	〜を…のせいだと考える／属性	動・名	ad-(〜へ) + tribute(割り当てる)	Historians attribute the collapse to a series of poor harvests.	歴史家はその崩壊を一連の凶作のせいだと考えている。	attribute A to B	attribute A to B の語順を固定。名詞は /ˈætrɪbjuːt/ と強勢が前に移る	kyodai-freq polysemy
compromise	妥協（する）／〜を危うくする	名・動	com-(共に) + promise(約束)	Safety must never be compromised for the sake of speed.	速さのために安全が損なわれてはならない。	reach a compromise / compromise safety	「妥協」だけで覚えると和訳で詰む。他動詞「危うくする」が京大では出る	kyodai-freq polysemy
subject	〜を…にさらす／受けやすい	動・形	sub-(下に) + ject(投げる)	The samples were subjected to extreme heat.	試料は極度の熱にさらされた。	be subject to / subject A to B	名詞「主題」以外の用法が本命。be subject to は「〜を受けやすい」	kyodai-freq polysemy
appreciate	正しく理解する／真価を認める	動	ad-(〜へ) + preti(値段)	Few people appreciate how difficult the task really is.	その仕事が実際どれほど難しいかを正しく理解している人は少ない。	appreciate the difficulty	「感謝する」ではない用法が和訳の頻出。「(価値・困難を)きちんとわかる」	kyodai-freq polysemy
account	説明／〜を占める／説明する	名・動	ac-(〜へ) + count(数える)	Agriculture accounts for a third of the country's exports.	農業がその国の輸出の3分の1を占める。	account for / on account of	account for は「説明する」と「占める」の二義。文脈で切り分ける	kyodai-freq polysemy
observe	観察する／述べる／(規則を)守る	動	ob-(〜に対して) + serve(見張る)	As one critic observed, the style is deliberately plain.	ある批評家が述べたように、その文体は意図的に平明である。	observe a rule / as X observed	「述べる」の意味を知らないと挿入節で崩れる	kyodai-freq polysemy
afford	〜する余裕がある／与える	動	af-(〜へ) + ford(前に出す)	The hilltop affords a fine view of the valley.	その丘の上からは谷の見事な眺めが得られる。	cannot afford to / afford an opportunity	「与える」の他動詞用法が和訳で出る	kyodai-freq polysemy
bear	耐える／(実を)結ぶ／(関係を)持つ	動	古英語 beran(運ぶ)	His argument bears little relation to the evidence.	彼の議論は証拠とほとんど関係がない。	bear a relation to / bear fruit	bear in mind, bear witness など熟語で頻出。多義の代表	kyodai-freq polysemy
last	続く／持ちこたえる	動	古英語 lǣstan(続く)	The drought lasted for three consecutive summers.	干ばつは3年続けて夏の間続いた。	last for / the last thing	形容詞「最後の」と動詞「続く」の切り替え	kyodai-freq polysemy
figure	人物／数値／思う／理解する	名・動	fig-(形づくる)	He was a central figure in the reform movement.	彼は改革運動の中心人物だった。	a public figure / figure out	「人物」の意味を落とすと和訳が崩れる	kyodai-freq polysemy
hold	保つ／(考えを)抱く／有効である	動	古英語 healdan	The same principle holds for living organisms.	同じ原理が生物にも当てはまる。	hold true / hold that	自動詞「当てはまる」が論説文で頻出	kyodai-freq polysemy
want	欠乏／必要とする	名・動	古ノルド語 vanta(欠ける)	The plants died for want of water.	植物は水が足りずに枯れた。	for want of / in want of	名詞「欠乏」は for want of の形で出る	kyodai-freq polysemy
tell	見分ける／効き目がある	動	古英語 tellan(数える)	It is hard to tell the two species apart.	その2種を見分けるのは難しい。	tell A from B / tell apart	「見分ける」の意味を落とさない	kyodai-freq polysemy
meet	(要求を)満たす／(困難に)対処する	動	古英語 mētan	The design fails to meet the new safety standards.	その設計は新しい安全基準を満たしていない。	meet the requirements / meet the demand	無生物目的語をとる「満たす」が本命	kyodai-freq
address	(問題に)取り組む／論じる	動	ad- + direct(向ける)	The report does not address the underlying causes.	その報告書は根本原因に取り組んでいない。	address the issue	「住所」ではない。論説文では「取り組む」	kyodai-freq
entertain	(考えを)抱く／もてなす	動	enter-(間に) + tain(保つ)	Scientists once entertained the idea of a static universe.	科学者はかつて静的な宇宙という考えを抱いていた。	entertain an idea / a doubt	「楽しませる」以外の用法が和訳で出る	kyodai-freq
embrace	受け入れる／包含する	動	em-(中に) + brace(腕)	The theory embraces a wide range of phenomena.	その理論は幅広い現象を包含する。	embrace change / embrace a theory	抽象目的語での「受け入れる／含む」	kyodai-freq
yield	産出する／屈する／収量	動・名	古英語 gieldan(支払う)	Careful analysis yielded an unexpected result.	入念な分析は予想外の結果をもたらした。	yield to / yield results	「もたらす」と「屈する」の二義	kyodai-freq polysemy
sustain	持続させる／支える／被る	動	sub-(下から) + tain(保つ)	It is hard to sustain such rapid growth.	これほど急速な成長を持続させるのは難しい。	sustain growth / sustain an injury	sustain an injury「負傷する」も押さえる	kyodai-freq
